,FVG,Top,Bottom,MitigatedIndex,Respected,StatusIndex
261,,,,,,0
262,,,,,,0
263,,,,,,0
264,,,,,,0
265,,,,,,0
266,-1.0,308.19061,306.78,270.0,False,271
267,-1.0,305.66,305.59,269.0,False,269
268,,,,,,0
269,1.0,305.62009,305.59,288.0,True,288
270,1.0,306.60999,306.60989,288.0,False,301
271,,,,,,0
272,,,,,,0
273,,,,,,0
274,,,,,,0
275,,,,,,0
276,,,,,,0
277,,,,,,0
278,,,,,,0
279,,,,,,0
280,1.0,308.75,308.73001,286.0,False,286
281,,,,,,0
282,,,,,,0
283,,,,,,0
284,,,,,,0
285,-1.0,309.25,309.061005,287.0,False,287
286,,,,,,0
287,,,,,,0
288,,,,,,0
289,,,,,,0
290,,,,,,0
291,,,,,,0
292,,,,,,0
293,,,,,,0
294,,,,,,0
295,,,,,,0
296,,,,,,0
297,,,,,,0
298,,,,,,0
299,,,,,,0
300,,,,,,0
301,,,,,,0
302,,,,,,0
303,1.0,308.0013123,307.57999,314.0,True,314
304,1.0,309.32001,308.16989,306.0,True,306
305,,,,,,0
306,,,,,,0
307,,,,,,0
308,,,,,,0
309,,,,,,0
310,,,,,,0
311,,,,,,0
312,,,,,,0
313,,,,,,0
314,1.0,313.31,310.12,316.0,True,316
315,,,,,,0
316,,,,,,0
317,,,,,,0
318,1.0,316.27011,315.98001,328.0,False,578
319,,,,,,0
320,,,,,,0
321,,,,,,0
322,,,,,,0
323,,,,,,0
324,,,,,,0
325,,,,,,0
326,,,,,,0
327,,,,,,0
328,,,,,,0
329,1.0,317.85999,317.62991,345.0,False,358
330,,,,,,0
331,,,,,,0
332,,,,,,0
333,,,,,,0
334,,,,,,0
335,,,,,,0
336,,,,,,0
337,,,,,,0
338,,,,,,0
339,,,,,,0
340,,,,,,0
341,,,,,,0
342,,,,,,0
343,,,,,,0
344,,,,,,0
345,,,,,,0
346,,,,,,0
347,,,,,,0
348,,,,,,0
349,,,,,,0
350,1.0,319.81,319.39999,352.0,False,352
351,,,,,,0
352,-1.0,319.81,319.67999,354.0,False,364
353,,,,,,0
354,,,,,,0
355,,,,,,0
356,,,,,,0
357,,,,,,0
358,,,,,,0
359,,,,,,0
360,,,,,,0
361,1.0,318.0042114,317.84,576.0,False,577
362,,,,,,0
363,1.0,318.84,318.76999,576.0,False,577
364,1.0,320.25,319.14359,575.0,False,576
365,1.0,320.98001,320.35001,575.0,False,576
366,1.0,328.0014038,322.35999,390.0,False,575
367,1.0,329.5,329.42999,379.0,False,380
368,,,,,,0
369,,,,,,0
370,1.0,332.84,332.079987,372.0,False,374
371,,,,,,0
372,,,,,,0
373,,,,,,0
374,-1.0,332.72,332.17999,392.0,False,392
375,,,,,,0
376,,,,,,0
377,,,,,,0
378,,,,,,0
379,,,,,,0
380,,,,,,0
381,,,,,,0
382,,,,,,0
383,,,,,,0
384,,,,,,0
385,,,,,,0
386,,,,,,0
387,,,,,,0
388,,,,,,0
389,-1.0,329.070007,328.6308,391.0,False,391
390,,,,,,0
391,1.0,334.14999,328.6308,420.0,False,506
392,1.0,339.82001,329.72989,394.0,False,505
393,,,,,,0
394,,,,,,0
395,,,,,,0
396,,,,,,0
397,,,,,,0
398,,,,,,0
399,,,,,,0
400,,,,,,0
401,,,,,,0
402,,,,,,0
403,,,,,,0
404,,,,,,0
405,,,,,,0
406,,,,,,0
407,,,,,,0
408,,,,,,0
409,,,,,,0
410,,,,,,0
411,,,,,,0
412,,,,,,0
413,,,,,,0
414,,,,,,0
415,,,,,,0
416,-1.0,341.60999,341.29999,418.0,False,444
417,,,,,,0
418,,,,,,0
419,-1.0,339.638,336.19,424.0,False,438
420,,,,,,0
421,,,,,,0
422,,,,,,0
423,,,,,,0
424,1.0,336.70999,335.019989,427.0,False,477
425,,,,,,0
426,,,,,,0
427,,,,,,0
428,,,,,,0
429,,,,,,0
430,,,,,,0
431,,,,,,0
432,,,,,,0
433,,,,,,0
434,,,,,,0
435,-1.0,338.45001,338.28,437.0,False,437
436,,,,,,0
437,1.0,338.92999,338.28,451.0,False,470
438,1.0,339.73001,339.67361,450.0,False,460
439,1.0,340.28009,339.905,444.0,False,450
440,,,,,,0
441,,,,,,0
442,,,,,,0
443,,,,,,0
444,1.0,345.73999,342.42999,446.0,False,450
445,,,,,,0
446,,,,,,0
447,,,,,,0
448,,,,,,0
449,-1.0,343.89999,343.79999,660.0,False,660
450,-1.0,342.82001,341.48001,452.0,False,659
451,,,,,,0
452,,,,,,0
453,,,,,,0
454,,,,,,0
455,,,,,,0
456,,,,,,0
457,,,,,,0
458,,,,,,0
459,,,,,,0
460,,,,,,0
461,,,,,,0
462,,,,,,0
463,,,,,,0
464,,,,,,0
465,,,,,,0
466,1.0,340.41,340.34009,468.0,False,469
467,,,,,,0
468,,,,,,0
469,-1.0,339.98999,337.95999,471.0,False,651
470,,,,,,0
471,,,,,,0
472,,,,,,0
473,,,,,,0
474,1.0,337.75,337.54001,476.0,False,476
475,,,,,,0
476,-1.0,337.75,336.97989,496.0,False,549
477,-1.0,336.17999,332.75,479.0,False,549
478,,,,,,0
479,,,,,,0
480,,,,,,0
481,,,,,,0
482,,,,,,0
483,,,,,,0
484,,,,,,0
485,,,,,,0
486,,,,,,0
487,,,,,,0
488,-1.0,333.61011,333.51239,490.0,False,490
489,,,,,,0
490,1.0,333.60999,333.51239,497.0,False,497
491,,,,,,0
492,,,,,,0
493,,,,,,0
494,,,,,,0
495,,,,,,0
496,,,,,,0
497,,,,,,0
498,,,,,,0
499,,,,,,0
500,,,,,,0
501,,,,,,0
502,1.0,332.76001,332.73999,504.0,False,504
503,,,,,,0
504,-1.0,332.76001,331.98999,522.0,False,525
505,-1.0,331.20001,329.8999,509.0,False,510
506,-1.0,329.41,328.70999,508.0,False,509
507,,,,,,0
