,FVG,Top,Bottom,MitigatedIndex,Respected,StatusIndex
247,,,,,,0
248,,,,,,0
249,,,,,,0
250,,,,,,0
251,,,,,,0
252,-1.0,401.34,394.0,405.0,False,406
253,,,,,,0
254,-1.0,381.39999,375.39999,256.0,False,405
255,,,,,,0
256,-1.0,363.17999,362.70001,263.0,False,404
257,-1.0,360.34,349.37,260.0,False,263
258,-1.0,350.51001,346.39999,260.0,False,260
259,,,,,,0
260,1.0,347.5,346.39999,265.0,False,265
261,,,,,,0
262,,,,,,0
263,,,,,,0
264,,,,,,0
265,-1.0,348.0,342.39999,322.0,False,324
266,-1.0,334.42001,328.89001,321.0,False,322
267,-1.0,324.70001,309.0,320.0,False,321
268,-1.0,297.25,297.23001,271.0,False,319
269,,,,,,0
270,,,,,,0
271,,,,,,0
272,,,,,,0
273,,,,,,0
274,-1.0,267.70999,266.25,286.0,False,286
275,,,,,,0
276,-1.0,250.73,237.059998,278.0,False,286
277,,,,,,0
278,,,,,,0
279,,,,,,0
280,,,,,,0
281,-1.0,240.73,230.10001,283.0,False,285
282,,,,,,0
283,,,,,,0
284,,,,,,0
285,1.0,256.32999,238.0,291.0,False,296
286,1.0,271.28,249.52,288.0,False,295
287,,,,,,0
288,,,,,,0
289,,,,,,0
290,-1.0,271.82001,260.56,292.0,False,293
291,,,,,,0
292,,,,,,0
293,,,,,,0
294,,,,,,0
295,-1.0,261.51001,252.0,298.0,False,298
296,,,,,,0
297,,,,,,0
298,,,,,,0
299,,,,,,0
300,,,,,,0
301,,,,,,0
302,,,,,,0
303,-1.0,247.53999,244.34,307.0,False,307
304,-1.0,233.89,232.21001,306.0,False,306
305,,,,,,0
306,1.0,244.42999,232.21001,0.0,,0
307,,,,,,0
308,1.0,259.63,259.45001,0.0,,0
309,1.0,272.42001,259.54001,312.0,True,312
310,,,,,,0
311,,,,,,0
312,,,,,,0
313,,,,,,0
314,,,,,,0
315,-1.0,279.81,277.73001,317.0,False,318
316,,,,,,0
317,,,,,,0
318,1.0,290.0,277.92001,337.0,True,337
319,1.0,311.5,289.79999,337.0,False,337
320,,,,,,0
321,1.0,337.0,322.20999,323.0,False,337
322,,,,,,0
323,,,,,,0
324,,,,,,0
325,,,,,,0
326,,,,,,0
327,,,,,,0
328,,,,,,0
329,1.0,347.32001,347.26999,333.0,False,333
330,1.0,355.91,343.17999,333.0,False,334
331,,,,,,0
332,,,,,,0
333,-1.0,356.0,348.019989,335.0,False,404
334,,,,,,0
335,,,,,,0
336,-1.0,343.040009,324.54999,340.0,False,348
337,-1.0,327.32999,305.5,339.0,False,344
338,,,,,,0
339,1.0,310.67001,305.5,354.0,False,354
340,1.0,322.5,309.82999,342.0,False,354
341,,,,,,0
342,,,,,,0
343,,,,,,0
344,,,,,,0
345,,,,,,0
346,,,,,,0
347,,,,,,0
348,1.0,340.44,332.35999,350.0,False,350
349,,,,,,0
350,-1.0,340.44,331.049988,367.0,False,383
351,,,,,,0
352,,,,,,0
353,-1.0,317.5,305.89001,355.0,False,364
354,,,,,,0
355,1.0,312.76001,305.89001,357.0,False,357
356,-1.0,303.82001,296.14999,358.0,False,360
357,,,,,,0
358,,,,,,0
359,,,,,,0
360,1.0,305.64999,300.14999,370.0,True,370
361,1.0,312.67001,310.48001,363.0,False,370
362,,,,,,0
363,,,,,,0
364,,,,,,0
365,,,,,,0
366,1.0,326.88,324.34,368.0,False,370
367,,,,,,0
368,,,,,,0
369,,,,,,0
370,-1.0,328.67001,323.63,372.0,False,381
371,1.0,315.69,310.14999,374.0,False,375
372,,,,,,0
373,,,,,,0
374,,,,,,0
375,-1.0,311.62,309.31,377.0,False,379
376,,,,,,0
377,,,,,,0
378,,,,,,0
379,1.0,316.16,312.45001,389.0,True,389
380,1.0,320.98001,320.47,389.0,False,390
381,1.0,334.14999,322.39999,383.0,False,390
382,,,,,,0
383,,,,,,0
384,,,,,,0
385,,,,,,0
386,,,,,,0
387,,,,,,0
388,,,,,,0
389,-1.0,327.85001,324.89999,391.0,False,391
390,,,,,,0
391,1.0,335.029999,324.89999,396.0,True,396
392,1.0,343.72,340.25,395.0,False,396
393,,,,,,0
394,,,,,,0
395,-1.0,349.16,348.75,400.0,False,400
396,-1.0,340.26001,333.32999,398.0,False,400
397,,,,,,0
398,,,,,,0
399,1.0,344.67999,343.32999,402.0,True,402
400,1.0,344.84,338.89001,402.0,True,402
401,,,,,,0
402,,,,,,0
403,,,,,,0
404,1.0,370.23999,356.32999,0.0,,0
405,1.0,402.42999,368.98999,0.0,,0
406,,,,,,0
407,,,,,,0
408,,,,,,0
409,,,,,,0
410,,,,,,0
411,,,,,,0
412,,,,,,0
413,,,,,,0
414,,,,,,0
415,1.0,439.5,435.35001,417.0,False,420
416,,,,,,0
417,,,,,,0
418,,,,,,0
419,,,,,,0
420,,,,,,0
421,,,,,,0
422,,,,,,0
423,,,,,,0
424,,,,,,0
425,,,,,,0
426,,,,,,0
427,,,,,,0
428,,,,,,0
429,,,,,,0
